Number,Request_type,Sector
SR_Req_0933029,DOMESTIC REQUEST,Other
SR_Req_0933367,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0933388,INTERNATIONAL REQUEST,Catering
SR_Req_0933419,DOMESTIC REQUEST,IT Software
SR_Req_0933497,DOMESTIC REQUEST,"Furniture, fittings & equipment"
SR_Req_0933516,INTERNATIONAL RESEARCH REQUEST,Consultancy Services
SR_Req_0933569,DOMESTIC REQUEST,Building Infrastructure and Construction
SR_Req_0934153,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0934236,DOMESTIC REQUEST,Consultancy Services
SR_Req_0934269,DOMESTIC REQUEST,Professional Services
SR_Req_0934357,DOMESTIC REQUEST,Professional Services
SR_Req_0934562,DOMESTIC WIL REQUEST,Other
SR_Req_0934569,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0934592,INTERNATIONAL REQUEST,Professional Services
SR_Req_0934670,DOMESTIC WIL REQUEST,Other
SR_Req_0934720,DOMESTIC REQUEST,Other
SR_Req_0934733,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0934761,DOMESTIC REQUEST,Consumables
SR_Req_0934831,DOMESTIC REQUEST,"Other, Subscriptions"
SR_Req_0934894,INTERNATIONAL REQUEST,  IT Managed Services
SR_Req_0934951,DOMESTIC REQUEST,Professional Services
SR_Req_0935012,DOMESTIC REQUEST,Professional Services
SR_Req_0935035,DOMESTIC REQUEST,"Consultancy Services, Professional Services"
SR_Req_0935102,DOMESTIC REQUEST,Other
SR_Req_0935170,INTERNATIONAL REQUEST,"Furniture, fittings & equipment"
SR_Req_0935174,DOMESTIC REQUEST,Membership and Associations
SR_Req_0935216,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0935309,DOMESTIC REQUEST,Professional Services
SR_Req_0935330,DOMESTIC REQUEST,Membership and Associations
SR_Req_0935513,DOMESTIC REQUEST,Membership and Associations
SR_Req_0935586,DOMESTIC REQUEST,"Consultancy Services, Professional Services"
SR_Req_0935599,DOMESTIC REQUEST,Professional Services
SR_Req_0935616,DOMESTIC REQUEST,Other
SR_Req_0935729,DOMESTIC WIL REQUEST,Other
SR_Req_0936299,DOMESTIC REQUEST,IT Security Services
SR_Req_0936334,DOMESTIC REQUEST,Professional Services
SR_Req_0936409,DOMESTIC RESEARCH REQUEST,Other
SR_Req_0936665,DOMESTIC REQUEST,Professional Services
SR_Req_0936890,INTERNATIONAL REQUEST,Other
SR_Req_0936906,DOMESTIC WIL REQUEST,Other
SR_Req_0936952,DOMESTIC REQUEST,Lab supplies and industrial gas
SR_Req_0936960,INTERNATIONAL REQUEST,IT Software
SR_Req_0937105,DOMESTIC REQUEST,Professional Services
SR_Req_0937114,DOMESTIC REQUEST,"IT Hardware (client computing, mobiles and printers)"
SR_Req_0937257,DOMESTIC REQUEST,Promotional Items & Gifts
SR_Req_0937603,INTERNATIONAL REQUEST,Consultancy Services
SR_Req_0937622,DOMESTIC REQUEST,"IT Hardware (client computing, mobiles and printers), IT Software, Professional Services"
SR_Req_0937700,INTERNATIONAL REQUEST,IT Software
