Number,Request_type,Sector
SR_Req_0970943,INTERNATIONAL REQUEST,Lab supplies and industrial gas
SR_Req_0971032,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0971066,DOMESTIC REQUEST,Removals and Storage
SR_Req_0971200,DOMESTIC REQUEST,"  IT Managed Services, IT Hardware (client computing, mobiles and printers), IT Software, Professional Services"
SR_Req_0971325,DOMESTIC REQUEST,Professional Services
SR_Req_0971327,DOMESTIC REQUEST,Other
SR_Req_0971627,DOMESTIC REQUEST,"IT Hardware (client computing, mobiles and printers)"
SR_Req_0971796,DOMESTIC REQUEST,Subscriptions
SR_Req_0971804,DOMESTIC REQUEST,Subscriptions
SR_Req_0971886,DOMESTIC REQUEST,Printing Services
SR_Req_0972067,DOMESTIC REQUEST,Other
SR_Req_0972229,INTERNATIONAL REQUEST,Other
SR_Req_0972230,DOMESTIC REQUEST,Professional Services
SR_Req_0972342,DOMESTIC REQUEST,Professional Services
SR_Req_0972471,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0972559,DOMESTIC REQUEST,Other
SR_Req_0972622,DOMESTIC REQUEST,Other
SR_Req_0972687,DOMESTIC REQUEST,Other
SR_Req_0972691,INTERNATIONAL REQUEST,Consultancy Services
SR_Req_0972740,DOMESTIC REQUEST,Building Infrastructure and Construction
SR_Req_0972902,DOMESTIC REQUEST,Other
SR_Req_0972929,INTERNATIONAL REQUEST,"Consultancy Services, Subscriptions"
SR_Req_0972934,INTERNATIONAL REQUEST,Other
SR_Req_0973152,DOMESTIC REQUEST,Professional Services
SR_Req_0973245,DOMESTIC REQUEST,Other
SR_Req_0973263,DOMESTIC REQUEST,Consultancy Services
SR_Req_0973285,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0973386,DOMESTIC WIL REQUEST,Other
SR_Req_0973396,DOMESTIC REQUEST,"Furniture, fittings & equipment"
SR_Req_0973399,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0973401,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0973494,INTERNATIONAL REQUEST,IT Software
SR_Req_0973509,INTERNATIONAL REQUEST,"Consultancy Services, Events Management (excl. catering), Financial Services, Leasing and Real Estate, Marketing Services, Professional Services, Student Recruitment"
SR_Req_0973730,DOMESTIC REQUEST,Other
SR_Req_0973769,DOMESTIC REQUEST,Financial Services
SR_Req_0973944,INTERNATIONAL REQUEST,Student Recruitment
SR_Req_0974077,DOMESTIC REQUEST,Printing Services
SR_Req_0974103,DOMESTIC REQUEST,Events Management (excl. catering)
SR_Req_0974110,DOMESTIC REQUEST,Professional Services
SR_Req_0974112,DOMESTIC REQUEST,Professional Services
SR_Req_0974184,DOMESTIC REQUEST,Consultancy Services
SR_Req_0974272,DOMESTIC REQUEST,Professional Services
SR_Req_0974317,DOMESTIC REQUEST,Consultancy Services
SR_Req_0974382,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0974628,DOMESTIC REQUEST,Professional Services
SR_Req_0974836,DOMESTIC REQUEST,Professional Services
SR_Req_0974981,DOMESTIC REQUEST,Other
SR_Req_0975032,DOMESTIC REQUEST,Other
SR_Req_0975342,INTERNATIONAL REQUEST,Other
SR_Req_0975878,DOMESTIC RESEARCH REQUEST,Professional Services
SR_Req_0976440,DOMESTIC REQUEST,Other
SR_Req_0976483,DOMESTIC REQUEST,Professional Services
SR_Req_0976556,INTERNATIONAL REQUEST,Professional Services
SR_Req_0976684,DOMESTIC REQUEST,Catering
SR_Req_0976752,DOMESTIC REQUEST,Consultancy Services
SR_Req_0976840,DOMESTIC REQUEST,Catering
SR_Req_0976871,DOMESTIC REQUEST,Consultancy Services
SR_Req_0976903,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0976953,DOMESTIC REQUEST,"  IT Managed Services, IT Software"
SR_Req_0977100,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0977166,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0977403,DOMESTIC WIL REQUEST,Other
SR_Req_0977457,DOMESTIC REQUEST,Other
SR_Req_0977482,DOMESTIC REQUEST,Other
SR_Req_0977501,DOMESTIC REQUEST,"Financial Services, Professional Services"
SR_Req_0977583,DOMESTIC REQUEST,Consultancy Services
SR_Req_0977638,INTERNATIONAL REQUEST,Other
SR_Req_0977818,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0977856,INTERNATIONAL REQUEST,Catering
SR_Req_0977914,DOMESTIC REQUEST,Printing Services
SR_Req_0977921,DOMESTIC REQUEST,Professional Services
SR_Req_0978066,DOMESTIC WIL REQUEST,Other
SR_Req_0978654,INTERNATIONAL REQUEST,Student Recruitment
SR_Req_0979068,DOMESTIC REQUEST,Other
SR_Req_0979197,DOMESTIC REQUEST,IT Software
SR_Req_0979356,DOMESTIC REQUEST,Lab supplies and industrial gas
SR_Req_0979452,INTERNATIONAL REQUEST,Building Infrastructure and Construction
SR_Req_0979517,DOMESTIC REQUEST,Other
SR_Req_0979537,DOMESTIC REQUEST,Professional Services
SR_Req_0979539,DOMESTIC REQUEST,IT Software
SR_Req_0979589,DOMESTIC REQUEST,Professional Services
SR_Req_0979598,DOMESTIC REQUEST,Consultancy Services
SR_Req_0979932,DOMESTIC REQUEST,Professional Services
SR_Req_0979956,DOMESTIC REQUEST,Other
SR_Req_0980116,DOMESTIC REQUEST,Marketing Services
SR_Req_0980186,DOMESTIC REQUEST,Lab supplies and industrial gas
SR_Req_0980231,DOMESTIC REQUEST,Consultancy Services
SR_Req_0980359,DOMESTIC REQUEST,Promotional Items & Gifts
SR_Req_0980460,DOMESTIC REQUEST,Membership and Associations
SR_Req_0980471,DOMESTIC REQUEST,Catering
SR_Req_0980564,INTERNATIONAL REQUEST,Leasing and Real Estate
SR_Req_0980667,DOMESTIC REQUEST,Consultancy Services
SR_Req_0980889,DOMESTIC REQUEST,Other
SR_Req_0981021,DOMESTIC REQUEST,Other
SR_Req_0981043,INTERNATIONAL REQUEST,Professional Services
SR_Req_0981236,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0981560,INTERNATIONAL REQUEST,Other
SR_Req_0981674,DOMESTIC REQUEST,Other
SR_Req_0981739,INTERNATIONAL REQUEST,Maintenance Services
SR_Req_0981771,DOMESTIC REQUEST,Lab supplies and industrial gas
SR_Req_0982641,DOMESTIC REQUEST,Consultancy Services
SR_Req_0982653,DOMESTIC REQUEST,Professional Services
SR_Req_0982682,DOMESTIC REQUEST,Other
SR_Req_0982908,DOMESTIC REQUEST,Events Management (excl. catering)
SR_Req_0983097,DOMESTIC REQUEST,Professional Services
SR_Req_0983222,DOMESTIC RESEARCH REQUEST,Other
SR_Req_0983596,DOMESTIC REQUEST,Utilities
SR_Req_0983880,DOMESTIC REQUEST,Events Management (excl. catering)
SR_Req_0983951,DOMESTIC REQUEST,Other
SR_Req_0984132,DOMESTIC REQUEST,Student Recruitment
SR_Req_0984147,INTERNATIONAL REQUEST,Other
SR_Req_0984201,INTERNATIONAL REQUEST,Professional Services
SR_Req_0984381,DOMESTIC REQUEST,Other
SR_Req_0984467,DOMESTIC REQUEST,Leasing and Real Estate
SR_Req_0984550,DOMESTIC REQUEST,Catering
SR_Req_0984585,DOMESTIC REQUEST,Travel
SR_Req_0984758,INTERNATIONAL REQUEST,Other
SR_Req_0984804,INTERNATIONAL REQUEST,"Furniture, fittings & equipment, Lab supplies and industrial gas"
SR_Req_0984881,INTERNATIONAL REQUEST,Professional Services
SR_Req_0985173,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0985220,DOMESTIC REQUEST,Maintenance Services
SR_Req_0985471,DOMESTIC REQUEST,Other
SR_Req_0985508,INTERNATIONAL REQUEST,Student Recruitment
SR_Req_0985545,DOMESTIC WIL REQUEST,Student Recruitment
SR_Req_0985564,DOMESTIC REQUEST,Marketing Services
SR_Req_0985655,DOMESTIC REQUEST,Building Infrastructure and Construction
SR_Req_0985993,DOMESTIC REQUEST,Professional Services
SR_Req_0986002,DOMESTIC REQUEST,Lab supplies and industrial gas
SR_Req_0986155,DOMESTIC REQUEST,Consultancy Services
SR_Req_0986453,DOMESTIC REQUEST,Lab supplies and industrial gas
SR_Req_0987025,INTERNATIONAL REQUEST,IT Software
SR_Req_0987029,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0987328,DOMESTIC RESEARCH REQUEST,Other
SR_Req_0987459,DOMESTIC REQUEST,Professional Services
SR_Req_0987645,INTERNATIONAL REQUEST,Student Recruitment
SR_Req_0987816,DOMESTIC REQUEST,Membership and Associations
SR_Req_0988039,DOMESTIC REQUEST,Travel
SR_Req_0988082,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0988088,DOMESTIC REQUEST,Professional Services
SR_Req_0988343,DOMESTIC REQUEST,IT Software
SR_Req_0988357,DOMESTIC REQUEST,IT Software
SR_Req_0988474,DOMESTIC REQUEST,Membership and Associations
SR_Req_0988519,DOMESTIC REQUEST,Other
SR_Req_0989261,DOMESTIC REQUEST,Other
SR_Req_0989379,DOMESTIC REQUEST,Catering
SR_Req_0989443,DOMESTIC REQUEST,Other
SR_Req_0989500,DOMESTIC REQUEST,Other
SR_Req_0989518,DOMESTIC WIL REQUEST,Other
SR_Req_0989624,DOMESTIC REQUEST,Other
SR_Req_0989690,DOMESTIC REQUEST,Printing Services
SR_Req_0989948,DOMESTIC REQUEST,Lab supplies and industrial gas
SR_Req_0990104,DOMESTIC REQUEST,Professional Services
SR_Req_0990129,DOMESTIC WIL REQUEST,Professional Services
SR_Req_0990175,DOMESTIC REQUEST,Lab supplies and industrial gas
SR_Req_0990520,DOMESTIC REQUEST,Professional Services
SR_Req_0991047,INTERNATIONAL REQUEST,Other
SR_Req_0991307,DOMESTIC REQUEST,Consumables
SR_Req_0991676,DOMESTIC REQUEST,Consultancy Services
SR_Req_0991740,INTERNATIONAL REQUEST,Professional Services
SR_Req_0991810,INTERNATIONAL REQUEST,Other
SR_Req_0991818,INTERNATIONAL REQUEST,Professional Services
SR_Req_0991843,INTERNATIONAL REQUEST,Other
SR_Req_0991854,DOMESTIC REQUEST,Professional Services
SR_Req_0991860,DOMESTIC REQUEST,Professional Services
SR_Req_0992032,DOMESTIC REQUEST,Other
SR_Req_0992141,DOMESTIC REQUEST,Consultancy Services
SR_Req_0992474,DOMESTIC REQUEST,Marketing Services
SR_Req_0992505,DOMESTIC REQUEST,Consultancy Services
SR_Req_0993088,INTERNATIONAL REQUEST,Other
SR_Req_0993099,INTERNATIONAL REQUEST,IT Software
SR_Req_0993106,DOMESTIC REQUEST,Travel
SR_Req_0993206,DOMESTIC WIL REQUEST,Professional Services
